Max Temp in Townsville,27,26,26,28,24,24,25,27,25,26,27,27,26,25,23,24,23,23,25,26,24,22,24,23,24,27,28,26,25,26,25
Max Temp in Cairns,25,24,27,27,26,26,27,27,28,27,28,26,27,25,25,25,26,25,26,27,24,26,26,27,27,28,28,27,25,27,26
Max Temp in Brisbane,23,24,23,24,25,26,23,24,20,19,23,23,25,24,24,23,22,25,27,23,23,23,21,23,23,22,23,27,23,23,27
